parameters,mean,std,naive_se,mcse,ess,rhat
g[1],0.24141724673068066,0.0034304573772432714,6.263129626920497e-5,0.0001535427661522889,401.15967885821703,1.001671962377998
g[2],0.515596186739998,0.011186053397060865,0.00020422845916758425,0.0005006730566908116,401.15967885821266,1.0016719623779975
g[3],0.6035657316426745,0.010611260358932246,0.0001937342220715852,0.00047494607531951957,401.1596788581404,1.0016719623779982
g[4],0.3820400517810616,0.01670753189821452,0.00030503640336297335,0.0007478071817032622,401.1596788581818,1.0016719623779982
g[5],0.618495631925189,0.00952731074521515,0.0001739441002505231,0.00042642991442392106,401.1596788580935,1.0016719623779984
g[6],0.011112074745128629,0.029841950727883194,0.0005448369857873112,0.0013356865158959063,401.1596788581627,1.0016719623779982
g[7],0.11726922728092305,0.004661368324697584,8.510455267589773e-5,0.00020863672330593966,401.1596788581646,1.0016719623779984
g[8],0.6018688465026388,0.01848894646095432,0.0003375604347056662,0.0008275409575669443,401.15967885811466,1.0016719623779984
g[9],0.2604252825147582,0.0038273897096702926,6.987825601165224e-5,0.00017130893596405009,401.1596788581934,1.0016719623779993
g[10],0.1273718040937401,0.003492396894256934,6.376215195818355e-5,0.00015631509757360325,401.15967885815326,1.0016719623779977
g[11],0.23017568645040534,0.00721261224178518,0.00013168368077878827,0.000322827049866308,401.15967885813853,1.0016719623779984
g[12],0.1634697795787671,0.01911235297063052,0.0003489422283005069,0.0008554438140688218,401.1596788581504,1.0016719623779984
g[13],0.36573969135450324,0.012356457190977553,0.0002255970111448442,0.0005530587931308631,401.15967885818975,1.0016719623779982
g[14],0.39582479964162787,0.013297660696186745,0.00024278095751171106,0.0005951858257127947,401.15967885817366,1.001671962377998
g[15],0.3651950758616052,0.00463589420413832,8.463946099380057e-5,0.00020749653513105532,401.159678858234,1.0016719623779993
g[16],0.2804783776143529,0.0027269363324782694,4.978681807262518e-5,0.00012205408829371741,401.15967885812177,1.001671962377999
g[17],0.4672953929016985,0.011831641775078911,0.00021601523641770617,0.0005295687444828295,401.15967885817565,1.0016719623779984
g[18],0.22252542829479208,0.0030544679751972354,5.576670037308854e-5,0.00013671397439493733,401.15967885818884,1.0016719623779977
g[19],0.6506430792840996,0.021381927795375257,0.0003903788058824577,0.0009570270020403784,401.15967885812574,1.0016719623779984
g[20],0.08399344764250453,0.002020655034154262,3.689194477142204e-5,9.04418651115605e-5,401.15967885813296,1.001671962377998
g[21],0.3760525695235841,0.010347730912175047,0.00018892285465305943,0.0004631508434399156,401.15967885814763,1.0016719623779986
g[22],0.46612022368621425,0.018411095250671996,0.00033613907257230944,0.0008240564396556166,401.1596788581589,1.0016719623779982
g[23],0.5753834678407109,0.001673895206997667,3.056100545908008e-5,7.492135073196034e-5,401.1596788583323,1.0016719623779977
g[24],0.3138361559403147,0.008667782161287631,0.00015825132710927056,0.0003879585440350401,401.15967885820186,1.001671962377998
g[25],0.4071645179642652,0.016652873742073124,0.0003040384865272972,0.0007453607544302095,401.1596788581322,1.0016719623779982
g[26],0.31317883767284704,0.00953067583997788,0.0001740055381941794,0.00042658053164530436,401.1596788581314,1.0016719623779984
g[27],0.20546123206348807,0.006487344318216636,0.00011844216071300749,0.00029036501027795037,401.1596788581365,1.0016719623779988
g[28],0.13516400346514493,0.003722186012498545,6.795750807585531e-5,0.00016660015666822102,401.1596788581673,1.0016719623779986
s[1],0.5012559454983269,0.007519631416751618,0.00013728905836931304,0.00033656882485492577,401.1596788581429,1.0016719623779977
s[2],0.4380276359773792,0.011115297307548226,0.00020293663562402002,0.0004975061070653874,401.1596788581164,1.0016719623779986
s[3],0.39502044264488884,0.0012044370775224926,2.1989911881822228e-5,5.39090215100732e-5,401.15967885829804,1.0016719623779915
s[4],0.10919543375792792,0.005832792996562263,0.00010649174324917684,0.00026106815290197725,401.15967885819043,1.0016719623779982
s[5],0.35095611777326646,0.010243245790753691,0.00018701522605552132,0.00045847422665079384,401.1596788581627,1.001671962377999
s[6],0.8091855872785124,0.031335427549573636,0.000572104017265677,0.001402532576688802,401.15967885816815,1.0016719623779984
s[7],0.469125873731598,0.007164184025703221,0.00013079950656652751,0.00032065946652701943,401.15967885818367,1.0016719623779993
s[8],0.2809020179205799,0.013812614600282406,0.0002521826864899959,0.0006182344860460415,401.15967885816,1.0016719623779984
s[9],0.523353474185688,0.00970552578107358,0.0001771978467580649,0.00043440658533583647,401.1596788581989,1.0016719623779982
s[10],0.6613761471682912,0.010196719082035961,0.00018616576845914887,0.00045639175228341395,401.1596788582065,1.0016719623779977
s[11],0.5985376039608359,0.011993733369853746,0.0002189746105123783,0.0005368237513506792,401.15967885819504,1.0016719623779977
s[12],0.19072240609436675,0.008741188844691416,0.00015959154365500036,0.00039124413076136187,401.1596788581418,1.0016719623779984
s[13],0.5974753801071173,0.0027386447480968633,5.0000583517523474e-5,0.0001225781415973029,401.1596788579079,1.0016719623779975
s[14],0.02921520816849988,0.023339896738063876,0.0004261262644426277,0.0010446631200388052,401.1596788581608,1.0016719623779984
s[15],0.1715792912667067,0.0072691048496633685,0.00013271508996769423,0.00032535558478946625,401.1596788581804,1.0016719623779982
s[16],0.173677265897847,0.00783817546931945,0.00014310485047433017,0.0003508264382265694,401.15967885821243,1.0016719623779977
s[17],0.5263180089086307,0.022890076378777373,0.0004179137058557511,0.0010245297516155072,401.1596788581806,1.0016719623779984
s[18],0.28376738935604157,0.0018375864739444002,3.3549585438190934e-5,8.22479568249841e-5,401.1596788582685,1.0016719623779984
s[19],0.06948954040006744,0.017808112070212153,0.0003251301562478406,0.0007970677045425422,401.159678858167,1.0016719623779982
s[20],0.002793325049393454,0.018739204816325204,0.0003421295062536922,0.0008387421928282451,401.15967885816383,1.0016719623779982
s[21],0.46331087248456787,0.014080148173816672,0.0002570671589271521,0.0006302089373805868,401.15967885816013,1.0016719623779986
s[22],0.3412671285624846,0.019116913595112476,0.00034902549353067617,0.000855647941630061,401.15967885816013,1.0016719623779984
s[23],0.25300053137131207,0.006572917754254791,0.00012000451075438488,0.00029419516487063404,401.15967885810926,1.0016719623779988
s[24],0.44391248922037274,0.0008591515001110928,1.5685888564174906e-5,3.845449261257164e-5,401.15967885833214,1.0016719623779995
s[25],0.14467854329394134,0.023654210103517266,0.0004318648151221006,0.0010587313734123935,401.15967885815434,1.0016719623779984
s[26],0.06760871964897769,0.007807942511289469,0.00014255287470455924,0.00034947325073743705,401.15967885815235,1.0016719623779984
s[27],0.6702333849857127,0.01272857345612014,0.00023239089355928306,0.0005697142283679459,401.15967885811915,1.0016719623779986
s[28],0.32481834275699856,0.012873419487172227,0.00023503540817836058,0.0005761973464563528,401.15967885812853,1.0016719623779984
